zone_class,centroid_lon,centroid_lat,geometry_type
residential,72.635534,23.110768,MultiPolygon
residential,72.478451,23.017618,MultiPolygon
residential,72.476115,23.020865,MultiPolygon
residential,72.481345,23.02482,MultiPolygon
residential,72.505489,23.01507,MultiPolygon
residential,72.505123,23.008688,MultiPolygon
residential,72.509752,23.024616,MultiPolygon
residential,72.509498,23.021573,MultiPolygon
residential,72.510735,23.017823,MultiPolygon
residential,72.623865,22.963803,MultiPolygon
residential,72.623562,22.960011,MultiPolygon
residential,72.513475,23.003895,MultiPolygon
residential,72.522306,23.033748,MultiPolygon
residential,72.512115,23.014874,MultiPolygon
residential,72.463657,22.983824,MultiPolygon
residential,72.633582,23.102966,MultiPolygon
residential,72.631907,23.103933,MultiPolygon
residential,72.631104,23.1039,MultiPolygon
residential,72.632937,23.102958,MultiPolygon
residential,72.632696,23.105132,MultiPolygon
residential,72.455848,22.98461,MultiPolygon
residential,72.632034,23.105786,MultiPolygon
residential,72.633901,23.107547,MultiPolygon
residential,72.633076,23.109849,MultiPolygon
residential,72.633425,23.100281,MultiPolygon
residential,72.537007,23.166291,MultiPolygon
residential,72.63168,23.099801,MultiPolygon
residential,72.631507,23.097222,MultiPolygon
residential,72.460401,22.984482,MultiPolygon
residential,72.458656,22.976073,MultiPolygon
residential,72.5411,23.160291,MultiPolygon
residential,72.728314,23.011,MultiPolygon
residential,72.45872,22.972855,MultiPolygon
residential,72.537177,23.17206,MultiPolygon
residential,72.500386,23.149505,MultiPolygon
residential,72.620004,23.208216,MultiPolygon
residential,72.578503,23.188812,MultiPolygon
residential,72.639994,23.209604,MultiPolygon
residential,72.642095,23.208252,MultiPolygon
residential,72.642432,23.207187,MultiPolygon
residential,72.670004,23.219103,MultiPolygon
residential,72.641551,23.213793,MultiPolygon
residential,72.645315,23.211243,MultiPolygon
residential,72.641685,23.211841,MultiPolygon
residential,72.644253,23.210506,MultiPolygon
residential,72.660586,23.209063,MultiPolygon
residential,72.648992,23.216303,MultiPolygon
residential,72.642242,23.219761,MultiPolygon
residential,72.613331,23.219966,MultiPolygon
residential,72.458409,22.979098,MultiPolygon
residential,72.598858,23.101505,MultiPolygon
residential,72.642969,23.199198,MultiPolygon
residential,72.688409,23.20884,MultiPolygon
residential,72.451563,22.980051,MultiPolygon
residential,72.454865,22.979793,MultiPolygon
residential,72.636459,23.200949,MultiPolygon
residential,72.455553,22.978155,MultiPolygon
residential,72.576996,23.187825,MultiPolygon
residential,72.629052,23.202259,MultiPolygon
residential,72.564828,23.068405,MultiPolygon
residential,72.560549,23.046146,MultiPolygon
residential,72.576021,23.187708,MultiPolygon
residential,72.649703,23.207343,MultiPolygon
residential,72.642219,23.173958,MultiPolygon
residential,72.610137,23.196282,MultiPolygon
residential,72.453097,22.979351,MultiPolygon
residential,72.459965,22.997021,MultiPolygon
residential,72.449602,23.007283,MultiPolygon
residential,72.59383,23.106369,MultiPolygon
residential,72.582067,23.097156,MultiPolygon
residential,72.527165,23.039341,MultiPolygon
residential,72.574224,23.185695,MultiPolygon
residential,72.509991,23.060039,MultiPolygon
residential,72.511749,23.034331,MultiPolygon
residential,72.592972,23.053071,MultiPolygon
residential,72.593674,23.051642,MultiPolygon
residential,72.590504,23.057081,MultiPolygon
residential,72.588886,23.057642,MultiPolygon
residential,72.56979,23.105135,MultiPolygon
residential,72.592617,23.060133,MultiPolygon
residential,72.594057,23.060896,MultiPolygon
residential,72.511411,23.045145,MultiPolygon
residential,72.593122,23.057271,MultiPolygon
residential,72.567625,23.02936,MultiPolygon
residential,72.565885,23.030025,MultiPolygon
residential,72.566602,23.030986,MultiPolygon
residential,72.644199,23.189536,MultiPolygon
residential,72.564975,23.03124,MultiPolygon
residential,72.566248,23.05122,MultiPolygon
residential,72.626618,23.182669,MultiPolygon
residential,72.576168,23.038759,MultiPolygon
residential,72.576833,23.042684,MultiPolygon
residential,72.453484,22.981854,MultiPolygon
residential,72.568492,23.105018,MultiPolygon
residential,72.526924,23.038913,MultiPolygon
residential,72.545243,23.041376,MultiPolygon
residential,72.525947,23.055017,MultiPolygon
residential,72.523073,23.055358,MultiPolygon
residential,72.567436,23.104661,MultiPolygon
residential,72.437911,23.037153,MultiPolygon
residential,72.564335,23.088724,MultiPolygon
residential,72.574121,23.063194,MultiPolygon
residential,72.570985,23.063835,MultiPolygon
residential,72.570593,23.064809,MultiPolygon
residential,72.590733,23.078858,MultiPolygon
residential,72.566098,23.060962,MultiPolygon
residential,72.591796,23.079329,MultiPolygon
residential,72.59121,23.077481,MultiPolygon
residential,72.593212,23.077553,MultiPolygon
residential,72.459003,22.982428,MultiPolygon
residential,72.455997,22.973177,MultiPolygon
residential,72.458016,22.985215,MultiPolygon
residential,72.525374,23.049921,MultiPolygon
residential,72.45623,22.986334,MultiPolygon
residential,72.521731,23.051984,MultiPolygon
residential,72.520676,23.05592,MultiPolygon
residential,72.554356,23.057955,MultiPolygon
residential,72.592928,23.078308,MultiPolygon
residential,72.551316,23.040605,MultiPolygon
residential,72.593391,23.078486,MultiPolygon
residential,72.530387,23.03646,MultiPolygon
residential,72.593914,23.062422,MultiPolygon
residential,72.456083,22.979654,MultiPolygon
residential,72.579951,23.033475,MultiPolygon
residential,72.578475,23.036734,MultiPolygon
residential,72.57774,23.039455,MultiPolygon
residential,72.593369,23.07882,MultiPolygon
residential,72.584139,23.029601,MultiPolygon
residential,72.470143,22.99354,MultiPolygon
residential,72.537158,23.047232,MultiPolygon
residential,72.514902,23.038497,MultiPolygon
residential,72.590009,23.031276,MultiPolygon
residential,72.5163,23.038298,MultiPolygon
residential,72.524282,23.04419,MultiPolygon
residential,72.596774,23.05992,MultiPolygon
residential,72.5207,23.044674,MultiPolygon
residential,72.599104,23.066169,MultiPolygon
residential,72.590989,23.08068,MultiPolygon
residential,72.553095,23.034711,MultiPolygon
residential,72.595389,23.063391,MultiPolygon
residential,72.591611,23.02992,MultiPolygon
residential,72.615146,23.184288,MultiPolygon
residential,72.63225,23.195538,MultiPolygon
residential,72.633573,23.19523,MultiPolygon
residential,72.630966,23.183685,MultiPolygon
residential,72.629945,23.182673,MultiPolygon
residential,72.631202,23.182286,MultiPolygon
residential,72.59287,23.080026,MultiPolygon
residential,72.594453,23.032099,MultiPolygon
residential,72.494665,23.100827,MultiPolygon
residential,72.584476,23.029207,MultiPolygon
residential,72.500673,23.10124,MultiPolygon
residential,72.504673,23.03254,MultiPolygon
residential,72.507136,23.032931,MultiPolygon
residential,72.506745,23.03101,MultiPolygon
residential,72.498602,23.029903,MultiPolygon
residential,72.497521,23.033664,MultiPolygon
residential,72.504721,23.064117,MultiPolygon
residential,72.633812,23.184375,MultiPolygon
residential,72.589091,23.029406,MultiPolygon
residential,72.632964,23.183373,MultiPolygon
residential,72.586901,23.029808,MultiPolygon
residential,72.630142,23.180458,MultiPolygon
residential,72.630705,23.178095,MultiPolygon
residential,72.636234,23.18319,MultiPolygon
residential,72.635713,23.179093,MultiPolygon
residential,72.630552,23.174833,MultiPolygon
residential,72.635339,23.176055,MultiPolygon
residential,72.588432,23.032733,MultiPolygon
residential,72.560476,23.073037,MultiPolygon
residential,72.577147,23.186279,MultiPolygon
residential,72.581135,23.031477,MultiPolygon
residential,72.58677,23.034249,MultiPolygon
residential,72.588458,23.036258,MultiPolygon
residential,72.549562,23.029979,MultiPolygon
residential,72.577604,23.029237,MultiPolygon
residential,72.578823,23.028758,MultiPolygon
residential,72.578186,23.031505,MultiPolygon
residential,72.5781,23.186757,MultiPolygon
residential,72.581292,23.029277,MultiPolygon
residential,72.577693,23.040461,MultiPolygon
residential,72.57747,23.041167,MultiPolygon
residential,72.581343,23.041299,MultiPolygon
residential,72.579415,23.04732,MultiPolygon
residential,72.577019,23.184798,MultiPolygon
residential,72.579571,23.041969,MultiPolygon
residential,72.579565,23.043347,MultiPolygon
residential,72.581437,23.044044,MultiPolygon
residential,72.584993,23.039123,MultiPolygon
residential,72.468645,23.056304,MultiPolygon
residential,72.581099,23.039613,MultiPolygon
residential,72.583911,23.041255,MultiPolygon
residential,72.638593,23.173102,MultiPolygon
residential,72.598691,23.049906,MultiPolygon
residential,72.57955,23.187164,MultiPolygon
residential,72.64687,23.173814,MultiPolygon
residential,72.644704,23.169562,MultiPolygon
residential,72.583242,23.043242,MultiPolygon
residential,72.583478,23.044566,MultiPolygon
residential,72.456847,23.005159,MultiPolygon
residential,72.58269,23.045631,MultiPolygon
residential,72.582582,23.063421,MultiPolygon
residential,72.562555,23.038958,MultiPolygon
residential,72.645417,23.169383,MultiPolygon
residential,72.677465,22.897869,MultiPolygon
residential,72.639434,23.151042,MultiPolygon
